billing_company,payer_id,name,abbreviation,insurance_company,ins_type,plan_type,address,apt_suite,country,zip,city,state,phone,mobile,fax,email,contact_name
MCC Medical Claims Consultants LLC,HESUN,Healthsun,HE,Healthsun,CI - Commercial Insurance,Medicare,PO Box 211154,,US,55121,Eagan,MN,877-207-4900,,,,
MCC Medical Claims Consultants LLC,TREST,Tricare - East Region,TER,Humana Military,TR - TRICARE,HMO,PO Box 7891 ,,US,53707,Madison,WI,800-4144-5445,,,,
MCC Medical Claims Consultants LLC,VAICE,Division Of Immigration Health,DOIH,Ice Health Services Corporation,CI - Commercial Insurance,HMO,PO Box 149345,,US,78714,Austin,TX,800-479-0523,,,,
MCC Medical Claims Consultants LLC,A3565,Leon Health Plans,LHP,Leon Health Plans,CI - Commercial Insurance,Medicare,PO Box 61265,,US,85082,Phoenix,AZ,833-373-5366,,,,
MCC Medical Claims Consultants LLC,37316,Leon Medical Center Health Plan,LMCHP,Leon Medical Center Health Plan,CI - Commercial Insurance,Medicare,PO Box 669441,,US,33166,Miami,FL,305-631-5343,,,,
MCC Medical Claims Consultants LLC,LFL01,Longevity Health Plan Of Florida,LHPOF,Longevity Health Plan,CI - Commercial Insurance,Medicare,PO Box 16170,,US,79490,Lubbock,TX,866-224-9499,,,,
MCC Medical Claims Consultants LLC,77027,Florida Medicaid,FM,Medicaid,MCE - Medicaid,Medicaid,PO Box 7072,,US,32314,Tallahasse,FL,800-239-7560,,,,
MCC Medical Claims Consultants LLC,C00882,Retired Railroad Medicare,RRM,Medicare,MED - Medicare,Medicare,PO Box 10066,,US,30999,Augusta,GA,888-355-9165,,,,
MCC Medical Claims Consultants LLC,51062,Molina Healthcare Of Florida,MHOF,Molina Healthcare,CI - Commercial Insurance,HMO,PO Box 22812,,US,90801,Long Beach,CA,866-472-4585,,,,
MCC Medical Claims Consultants LLC,58182,Naphcare,NA,Naphcare,CI - Commercial Insurance,HMO,2090 Columbiana Road Ste 4000,,US,5216,Birmingham,AL,800-834-2420,,,,
MCC Medical Claims Consultants LLC,53011,National Association Of Letter Carriers,NAOLC,National Assocation of Letter Carriers,CI - Commercial Insurance,PPO,PO Box 9668,,US,85252,Scottsdale,AZ,888-636-6252,,,,
MCC Medical Claims Consultants LLC,20133,Optimum Healthcare Services,OHS,Optimum Healthcare INC,CI - Commercial Insurance,Medicare,PO Box 151257,,US,33684,Tampa,FL,866-245-5360,,,,
MCC Medical Claims Consultants LLC,95411,Positive Healthcare,PH,Positive Healthcare,CI - Commercial Insurance,Medicare,PO Box 472377,,US,80047,Aurora,CO,888-662-0626,,,,
MCC Medical Claims Consultants LLC,CLEAR,Clear Health Alliance,CHA,Simply Healthcare,CI - Commercial Insurance,HMO,PO Box 61010,,US,23466,Virginia Beach,VA,844-406-2398,,,,
MCC Medical Claims Consultants LLC,73581,Solis Health Plans,SHP,Solis Health Plans,CI - Commercial Insurance,Medicare,PO Box 211486,,US,55121,Eagan,MN ,844-447-6547,,,,
MCC Medical Claims Consultants LLC,170558746,Tufts Health Plans,THP,Tufts Health Plans,CI - Commercial Insurance,HMO,PO Box 9115,,US,60068,Park Ridge,IL,888-257-1985,,,,
MCC Medical Claims Consultants LLC,UHP01,Uhp Management,UM,UHP Management,CI - Commercial Insurance,HMO,PO Box 190394,,US,11219,Brooklyn,NY,800-900-7475,,,,
MCC Medical Claims Consultants LLC,92916,United American Insurance Company,UAIC,United American Insurance Company,CI - Commercial Insurance,HMO,PO Box 8080,,US,75070,Mckinney,TX,972-529-5085,,,,
MCC Medical Claims Consultants LLC,25463,Surest,SU,United Healthcare,CI - Commercial Insurance,HMO,PO Box 211758,,US,55121,Eagan,MN ,844-368-6661,,,,
MCC Medical Claims Consultants LLC,37602,Golden Rule Insurance,GRI,United Healthcare,CI - Commercial Insurance,HMO,PO Box 31374,,US,84131,Salt Lake City,UT,800-657-8205,,,,
MCC Medical Claims Consultants LLC,96107,Neighborhood Health Florida,NHF,United Healthcare,CI - Commercial Insurance,HMO,PO Box 740800,,US,30374-0800,Atlanta,GA,877-842-3210,,,,
MCC Medical Claims Consultants LLC,36273,Aarp Medicare Supplement Plans,AMSP,United Healthcare,CI - Commercial Insurance,Medicare,PO Box 740819,,US,30374,Atlanta,GA,800-227-7789,,,,
MCC Medical Claims Consultants LLC,87726,Optumhealth Behavioral Solutions,OBS,United Healthcare,CI - Commercial Insurance,HMO,PO Box 30755,,US,84130,Salt Lake City,UT,877-842-3210,,,,
MCC Medical Claims Consultants LLC,USN01,U.s. Networks And Administrative Services,UNAAS,United Healthcare,CI - Commercial Insurance,PPO,PO Box 30526,,US,84130,Salt Lake City ,UT,877-842-3210,,,,
MCC Medical Claims Consultants LLC,WELM2,Wellmed,WE,United Healthcare,CI - Commercial Insurance,Medicare,PO Box 30508,,US,84130,Salt Lake City,UT,888-781-9355,,,,
MCC Medical Claims Consultants LLC,128LA,Aetna Better Health Of Louisiana,ABHOL,Aetna,CI - Commercial Insurance,Medicaid,PO Box 982962,,US,79998,El Paso,TX,855-242-0802,,,,
MCC Medical Claims Consultants LLC,50023,Ohio Duals,OD,Aetna,CI - Commercial Insurance,Medicare,PO Box 64205,,US,85082,Phoenix,AZ,855-364-0974,,,,
MCC Medical Claims Consultants LLC,128KY,Aetna Better Health Of Kentucky,ABHOK,Aetna,CI - Commercial Insurance,Medicaid,PO Box 982969,,US,79998,El Paso,TX ,855-454-0061,,,,
MCC Medical Claims Consultants LLC,128WV,Aetna Better Health Of West Virginia,ABHOWV,Aetna,CI - Commercial Insurance,Medicaid,PO Box 982965,,US,79998,El Paso,TX,888-348-2922,,,,
MCC Medical Claims Consultants LLC,27357,Amerihealth Caritas Louisiana,ACL,Aetna,CI - Commercial Insurance,HMO,PO Box 7322,,US,40742,London,KY,888-922-0007,,,,
MCC Medical Claims Consultants LLC,00590,Florida Blue Shield,FBC,Blue Cross Blue Shield,CI - Commercial Insurance,HMO,PO Box 1797,,US,32231,Jacksonville,FL ,800-727-2227,,,,
MCC Medical Claims Consultants LLC,FBM01,Florida Blue Medicare,FBM,Blue Cross Blue Shield,CI - Commercial Insurance,Medicare,PO Box 1798,,US,32231,Jacksonville,FL ,800-727-2227,,,,
MCC Medical Claims Consultants LLC,0002937,Anthem Ohio Medicaid,AOM,Blue Cross Blue Shield,CI - Commercial Insurance,Medicaid,PO Box 62500,,US,23466,Virginia Beach,VA,844-912-1226,,,,
MCC Medical Claims Consultants LLC,72107,La Blue Advantage,LBA,Blue Cross Blue Shield,CI - Commercial Insurance,Medicare,PO Box 7003,,US,48007, Troy,MI,866-508-7145,,,,
MCC Medical Claims Consultants LLC,0003150,Caresource Ohio Medicaid,COM,Caresource,CI - Commercial Insurance,Medicaid,PO Box 8730,,US,45401,Dayton,OH ,800-488-0134,,,,
MCC Medical Claims Consultants LLC,84146,Champva - Hac,C-H,ChampVA,CI - Commercial Insurance,HMO,PO Box 469064 ,,US,80246,Denver,CO ,800-733-8387,,,,
MCC Medical Claims Consultants LLC,00661,Healthy Blue Louisiana,HBL,Healthy Blue,CI - Commercial Insurance,HMO,PO Box 61010,,US,23466,Virginia Beach,VA,844-521-6942,,,,
MCC Medical Claims Consultants LLC,00551,Healthy Blue Dual Advantage Louisiana,HBDAL,Healthy Blue,CI - Commercial Insurance,Medicaid,PO Box 61010,,US,23466,Virginia Beach,VA,844-209-5406,,,,
MCC Medical Claims Consultants LLC,61103,Humana Ohio Medicaid,HOM,Humana,CI - Commercial Insurance,,PO Box 14601,,US,40512,Lexington,KY,877-856-5707,,,,
MCC Medical Claims Consultants LLC,20149,Molina Healthcare Of Ohio,MHOO,Molina Healthcare,CI - Commercial Insurance,Medicare,PO Box 22712,,US,90801,Long Beach,CA,855-322-4079,,,,
MCC Medical Claims Consultants LLC,73160,Molina Ohio Medicaid,MOM,Molina Healthcare,CI - Commercial Insurance,Medicaid,PO Box 22712,,US,90801,Long Beach,CA,855-322-4080,,,,
MCC Medical Claims Consultants LLC,VACCN,Veterans Affairs Community Care Network Rgn 1 2 3,VACCNR123,Optum VA,CI - Commercial Insurance,HMO,PO Box 202117,,US,29502,Florence,SC,844-839-6108,,,,
MCC Medical Claims Consultants LLC,88337,Unitedhealthcare Ohio Medicaid,UOM,United Healthcare,CI - Commercial Insurance,Medicaid,PO Box 8207,,US,12402, Kingston,KY,800-600-9007,,,,
MCC Medical Claims Consultants LLC,12115,Veterans Administration Fee Basis Programs,VAFBP,Veterans Administration,CI - Commercial Insurance,HMO,PO Box 30780,,US,33630,Tampa,FL,877-881-7618,,,,
MCC Medical Claims Consultants LLC,14163,"Wellcare Of  Ct, Fl, Ga, La, Nj, Ny, Oh, Tx, Sc",WOCFGLNNOTS,Wellcare,CI - Commercial Insurance,HMO,PO Box 31372,,US,33631,Tampa,FL,800-278-0656,,,,
MCC Medical Claims Consultants LLC,59064,Community Care Plan (commercial),CCP,Community Care Plan,CI - Commercial Insurance,HMO,PO Box 841309,,US,33084,Pembroke Pines,FL,866-899-4828,,,,
MCC Medical Claims Consultants LLC,59322,Florida Health Care Plan,FHCP,Florida Healthcare Plan,CI - Commercial Insurance,HMO,PO Box 10348,,US,32120, Daytona Beach,FL,800-352-9824,,,,
MCC Medical Claims Consultants LLC,09101,Florida Medicare,FM,Medicare,MED - Medicare,Medicare,532 Riverside Avenue,,US,32231,Jacksonville,FL ,888-664-4112,,,,
MCC Medical Claims Consultants LLC,09102,Florida Medicare,FM,Medicare,MED - Medicare,Medicare,PO BOX 2525,,US,32231,Jacksonville,FL,877-847-4992,,,,
MCC Medical Claims Consultants LLC,15201,Ohio Medicare,OM,Medicare,MED - Medicare,Medicare,PO Box 20200,,US,37202,Nashville,TN,866-590-6703,,,,
MCC Medical Claims Consultants LLC,15202,Ohio Medicare,OM,Medicare,MED - Medicare,Medicare,PO Box 20017,,US,37202,Nashville,TN ,866-290-4036,,,,
MCC Medical Claims Consultants LLC,07202,Louisiana Medicare,LM,Medicare,MED - Medicare,Medicare,PO Box 3103,,US,17055,Mechanicsburg,PA,855-252-8782,,,,
MCC Medical Claims Consultants LLC,07201,Louisiana Medicare,LM,Medicare,MED - Medicare,Medicare,PO Box 3103,,US,17055,Mechanicsburg,PA,855-252-8782,,,,
