"Fav","CPID","Payer Name","Eligibility RealtimePayer ID","Payer ID","Portal Avail","Claim Type","State","Connectivity Available (CS, E)","2nd Level Auth (CS, E)","Enrollment Required","2nd CL","C","R","E","CS","A","ARS","AR","Paper CPID","Claim Status Payer ID","Claim Status Portal ID","Eligibility Portal ID","Claim Insurance Type","Claim Surcharge Amount","Attachment Type","Attachment Delivery Method","CS Transmission Type","Must Submit Claims to CH","Remit Pass-through Fee"
"No","1149","CHILDREN'S COMMUNITY HEALTH PLAN","","251CC","","Professional","","N/A, N/A","N/A, N/A","R","Yes","Yes","Yes","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","1150","PACE OF SOUTHWEST MICHIGAN","","45114","","Professional","","N/A, N/A","N/A, N/A"," ","No","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","1153","LEISURE WORLD MANAGED CARE","","LWMC1","","Professional","","N/A, N/A","N/A, N/A"," ","Yes","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","1154","PAYER COMPASS","","PA331","","Professional","","N/A, N/A","N/A, N/A"," ","Yes","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","1155","CHOICE PHYSICIANS NETWORK (ANTELOPE VALLEY MEDICAL","","CPNAV","","Professional","","N/A, N/A","N/A, N/A"," ","Yes","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","1156","CORPORATE PLAN MANAGEMENT","","64270","","Professional","","N/A, N/A","N/A, N/A"," ","Yes","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","1159","NETWORK SOLUTIONS IPA","","NSIPA","","Professional","","N/A, N/A","N/A, N/A"," ","Yes","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","1160","OXFORD LIFE INSURANCE ERA","","","","","","N/A, N/A","N/A, N/A","R","No","No","Yes","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","1162","MEDPAY FIRST ONE","","MP001","","Professional","","N/A, N/A","N/A, N/A"," ","Yes","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","1168","KEMPTON GROUP ADMINISTRATORS (USC)","","90210","","Professional","","N/A, N/A","N/A, N/A"," ","Yes","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","1170","PACE SOUTHWEST IOWA","","53534","","Professional","","N/A, N/A","N/A, N/A"," ","No","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","1171","PACE CENTRAL IOWA","","72436","","Professional","","N/A, N/A","N/A, N/A"," ","No","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","1172","PACE NEBRASKA","","35416","","Professional","","N/A, N/A","N/A, N/A"," ","No","Yes","No","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","1173","NATIONAL ELEVATOR INDUSTRY BENEFIT PLAN (NEIB)","","CX045","","Professional","","N/A, N/A","N/A, N/A","R","No","No","Yes","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","1174","LOCAL 371 AMALGAMATED WELFARE TRUST FUND","","","","","","N/A, N/A","N/A, N/A","R","No","No","Yes","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
"No","1183","LOUISIANA MEDICAID MEDICARE ADVANTAGE CROSSOVERS","","LA-DHH-MEDICAID","","Professional","","N/A, N/A","N/A, N/A","C,R","Yes","Yes","Yes","No","No","No","No","No","4320","","","","Commercial/HMO","",,"",,"",""
